"entry_id","AREA","cx","cy"
"GHR.001","11.01","4916342.3047757","3946281.1893275"
"GHR.002","3.52","4913818.1688774","3945081.4756539"
"GHR.003","13.69","4911265.2485381","3941709.7023048"
"GHR.005","2.38","4916149.5021086","3938447.6572682"
"GHR.006","1.93","4916803.6370068","3939375.4045044"
"GHR.007","1.87","4909782.0113753","3945338.5285545"
"GHR.008","1.08","4911424.9933582","3938004.561674"
"GHR.009","1.96","4910159.9852857","3937394.3208979"
"GHR.010","20.5","4905677.3511791","3942276.6431409"
"GHR.011","2.11","4906959.1411965","3944272.9794019"
"GHR.012","0.56","4908383.6417502","3940083.1624035"
"GHR.013","3.08","4916742.7659104","3932681.6219061"
"GHR.014","7.04","4906758.4418951","3930796.3695944"
"GHR.015","81.63","4909493.199151","3929435.5407976"
"GHR.016","3.95","4907611.6772996","3936867.462188"
"GHR.017","14.95","4907576.9268085","3937745.2241256"
"GHR.018","0.91","4909187.2319564","3944806.899154"
"GHR.019","1.57","4912320.0584403","3933894.3775257"
"GHR.020","1.38","4912706.6101687","3933925.1527447"
"GHR.021","0.83","4918678.6945068","3941624.6963782"
"GHR.022","2.59","4913700.2517403","3943807.9890657"
"GHR.023","0.9","4918520.1978912","3942325.4830079"
"GHR.025","0.13","4920942.2977661","3942478.5830065"
"GHR.024","0.15","4904361.3187466","3942684.4316828"
"GHR.026","1.15","4904085.0442397","3942355.2756513"
"GHR.027","1.84","4898159.141073","3932163.1655267"
"GHR.028","5.65","4909677.9813119","3945931.7063926"
"GHR.029","6.02","4906861.2135692","3941480.3976024"
"GHR.030","7.39","4916626.7642498","3941613.0513708"
"GHR.031","12.42","4915957.3164117","3940498.0357224"
"GHR.032","4.08","4915103.5988347","3939109.8418167"
"GHR.033","11.29","4914731.016917","3938604.4915544"
"GHR.034","4.7","4912432.6855136","3944898.0002187"
"GHR.035","1.66","4903066.1741956","3940558.3968652"
"GHR.036","6.58","4898995.1417471","3926386.9433924"
"GHR.037","206.33","4895441.127023","3923951.3821308"
"GHR.038","19.85","4893823.420902","3919088.5451115"
"GHR.039","21.92","4888969.0280831","3925323.6947143"
"GHR.040","105.75","4883568.8324489","3926120.7371565"
"GHR.041","44.85","4883320.1329132","3927888.1533379"
"GHR.042","1.04","4887311.979032","3924490.8736494"
"GHR.043","2.99","4887043.6228899","3924795.8373697"
"GHR.044","25.51","4898922.8076795","3922892.2196425"
"GHR.045","5.13","4897404.1076282","3924685.9792865"
"GHR.046","5.7","4898383.0347869","3918939.1572457"
"GHR.047","1.06","4895914.1140346","3918863.2019658"
"GHR.048","5.29","4897037.7803511","3929850.5884457"
"GHR.049","3.43","4892512.5527578","3931144.5131509"
"GHR.050","2.3","4892657.0195482","3930948.2019828"
"GHR.051","10.92","4891388.7015313","3930373.2735075"
"GHR.052","3.12","4892245.3624393","3932306.3521569"
"GHR.053","1.76","4894239.8300316","3929205.6434953"
"GHR.054","0.58","4896477.5679191","3926154.8794084"
"GHR.055","0.48","4899645.2015064","3928278.1154863"
"GHR.056","1.92","4903190.656584","3932508.600879"
"GHR.057","16.26","4904033.8980216","3935734.9545738"
"GHR.058","9.11","4903936.6311719","3937203.625643"
"GHR.059","2.8","4906234.1684232","3937070.9312922"
"GHR.060","5.29","4906061.9425476","3944385.3295523"
"GHR.061","0.65","4891844.8581122","3932074.8811652"
"GHR.062","12.54","4882665.218951","3924842.5298781"
"GHR.063","1.95","4893921.5677935","3918245.8095176"
"GHR.064","5.41","4894268.9330623","3918420.1144912"
"GHR.004","0.88","4895070.7692954","3917243.7227644"
"GHR.065","1.68","4895688.0009098","3920300.594177"
"GHR.066","2.27","4888255.5133073","3926624.7453782"
"GHR.067","1.35","4889726.8353326","3928808.2097749"
"GHR.068","0.58","4889591.5522749","3928395.8573108"
"GHR.069","0.56","4890609.3204822","3928871.5804682"
"GHR.070","2.01","4892033.1329558","3928295.8348015"
"GHR.071","3.34","4888337.5427293","3929045.620831"
"GHR.072","2.94","4916184.4315351","3951617.3167716"
"GHR.073","2.27","4916535.5476158","3951779.9911513"
"GHR.074","3.01","4915628.5078944","3951081.1181188"
"GHR.075","6.22","4886720.6738113","3933433.1598661"
"GHR.076","2.05","4912696.0360307","3932088.5080581"
"GHR.077","2.44","4912842.0974515","3931623.8216164"
"GHR.078","5.83","4913210.2453703","3931492.0793721"
"GHR.080","36.61","4918877.3963979","3934154.632835"
"GHR.081","4.38","4917520.9924649","3934254.7936269"
"GHR.083","6.03","4915546.1508768","3932337.4054987"
"GHR.084","16.27","4911874.5517566","3928795.1177708"
"GHR.085","3.02","4910908.7263","3929747.4396781"
"GHR.086","1.78","4910405.2985357","3929644.7132304"
"GHR.088","0.27","4910290.142361","3929521.5293452"
"GHR.087","1.28","4903292.4685066","3930338.634046"
"GHR.089","63.74","4899560.9302306","3925511.4790194"
"GHR.090","1.02","4899454.4725299","3924388.9628759"
"GHR.082","2.05","4899727.5453658","3924697.5054333"
